user_id,signup_date,first_asset_class,acquisition_channel
12952742,2025-04-21 00:00:00,,Referral
13673065,2025-12-31 00:00:00,gss,Organic
12752079,2025-02-17 00:00:00,,Paid Ads
13499307,2025-10-22 00:00:00,,Paid Ads
13140430,2025-06-08 00:00:00,crypto,Organic
13585581,2025-11-21 00:00:00,,Paid Ads
13115886,2025-06-01 00:00:00,,Paid Ads
13602866,2025-11-30 00:00:00,,Paid Ads
13459674,2025-10-12 00:00:00,,Paid Ads
13333084,2025-08-16 00:00:00,,Organic
13549935,2025-11-07 00:00:00,,Paid Ads
13380943,2025-09-14 00:00:00,,Organic
12847470,2025-03-27 00:00:00,,Organic
13096529,2025-05-27 00:00:00,,Organic
13346962,2025-08-25 00:00:00,,Organic
12767934,2025-02-22 00:00:00,,Organic
13011606,2025-05-05 00:00:00,crypto,Referral
13560754,2025-11-11 00:00:00,crypto,Organic
13123703,2025-06-03 00:00:00,,Paid Ads
13101978,2025-05-29 00:00:00,,Organic
13209604,2025-07-01 00:00:00,,Paid Ads
13370780,2025-09-08 00:00:00,crypto,Paid Ads
12687852,2025-01-24 00:00:00,crypto,Paid Ads
13208858,2025-07-01 00:00:00,,Organic
12769138,2025-02-22 00:00:00,,Organic
13606706,2025-12-01 00:00:00,,Paid Ads
12900138,2025-04-10 00:00:00,,Referral
12704987,2025-02-01 00:00:00,,Organic
13268240,2025-07-20 00:00:00,crypto,Organic
12870046,2025-04-03 00:00:00,,Organic
12857948,2025-04-01 00:00:00,,Paid Ads
12642373,2025-01-01 00:00:00,,Paid Ads
12696286,2025-01-28 00:00:00,,Others
13178367,2025-06-20 00:00:00,,Referral
13619323,2025-12-08 00:00:00,,Organic
13652324,2025-12-24 00:00:00,,Paid Ads
13157990,2025-06-13 00:00:00,,Paid Ads
13172885,2025-06-18 00:00:00,gss,Organic
13229173,2025-07-10 00:00:00,,Organic
12884337,2025-04-07 00:00:00,,Organic
13187800,2025-06-23 00:00:00,,Investment Club
13427711,2025-10-04 00:00:00,gold,Paid Ads
12819075,2025-03-15 00:00:00,,Paid Ads
13088092,2025-05-25 00:00:00,,Organic
13546442,2025-11-06 00:00:00,crypto,Referral
13507596,2025-10-24 00:00:00,crypto,Paid Ads
13113603,2025-06-01 00:00:00,,Organic
12749460,2025-02-16 00:00:00,,Organic
12792211,2025-03-03 00:00:00,,Organic
12708494,2025-02-01 00:00:00,crypto,Organic
13451671,2025-10-10 00:00:00,,Paid Ads
13049733,2025-05-15 00:00:00,crypto,Organic
13539080,2025-11-03 00:00:00,crypto,Organic
13093942,2025-05-27 00:00:00,,Paid Ads
13510848,2025-10-25 00:00:00,crypto,Paid Ads
13178801,2025-06-20 00:00:00,,Organic
12770208,2025-02-23 00:00:00,,Organic
12825979,2025-03-18 00:00:00,,Paid Ads
12942798,2025-04-19 00:00:00,,Paid Ads
12700923,2025-01-30 00:00:00,,Organic
13439449,2025-10-07 00:00:00,crypto,Paid Ads
13382589,2025-09-15 00:00:00,gold,Referral
12706418,2025-02-01 00:00:00,,Organic
12987176,2025-04-28 00:00:00,crypto,Paid Ads
12937113,2025-04-18 00:00:00,,Paid Ads
13554432,2025-11-09 00:00:00,gold,Referral
13393663,2025-09-21 00:00:00,,Organic
13369257,2025-09-07 00:00:00,,Referral
13380408,2025-09-14 00:00:00,,Organic
13377494,2025-09-12 00:00:00,,Organic
12979367,2025-04-26 00:00:00,,Organic
12906338,2025-04-11 00:00:00,,Paid Ads
12739561,2025-02-12 00:00:00,crypto,Organic
13218498,2025-07-05 00:00:00,,Paid Ads
12880783,2025-04-06 00:00:00,crypto,Referral
12939141,2025-04-18 00:00:00,,Paid Ads
13600419,2025-11-28 00:00:00,,Organic
13182594,2025-06-21 00:00:00,gold,Paid Ads
12863517,2025-04-02 00:00:00,,Referral
13369385,2025-09-07 00:00:00,,Organic
13445863,2025-10-09 00:00:00,,Organic
13198692,2025-06-27 00:00:00,gold,Organic
12863685,2025-04-02 00:00:00,crypto,Referral
13524967,2025-10-30 00:00:00,gss,Organic
12919759,2025-04-14 00:00:00,,Paid Ads
13623966,2025-12-10 00:00:00,,Organic
12666925,2025-01-14 00:00:00,,Paid Ads
13243152,2025-07-14 00:00:00,,Paid Ads
13610260,2025-12-03 00:00:00,crypto,Paid Ads
13579921,2025-11-19 00:00:00,,Organic
13131252,2025-06-06 00:00:00,crypto,Paid Ads
13488421,2025-10-19 00:00:00,gold,Paid Ads
13556430,2025-11-10 00:00:00,,Organic
13604374,2025-11-30 00:00:00,,Organic
13644757,2025-12-21 00:00:00,,Organic
12703792,2025-01-31 00:00:00,,Organic
13508885,2025-10-25 00:00:00,,Paid Ads
13513308,2025-10-26 00:00:00,,Paid Ads
12782861,2025-02-27 00:00:00,,Paid Ads
13452505,2025-10-10 00:00:00,,Organic
13190569,2025-06-24 00:00:00,,Paid Ads
12698366,2025-01-29 00:00:00,,Paid Ads
13089537,2025-05-26 00:00:00,,Paid Ads
13324300,2025-08-12 00:00:00,,Organic
13581183,2025-11-20 00:00:00,,Organic
13114466,2025-06-01 00:00:00,,Organic
13421459,2025-10-02 00:00:00,,Paid Ads
13527160,2025-10-30 00:00:00,,Paid Ads
13636513,2025-12-16 00:00:00,,Paid Ads
12772925,2025-02-23 00:00:00,crypto,Organic
13403486,2025-09-25 00:00:00,,Organic
13629557,2025-12-13 00:00:00,,Organic
13573020,2025-11-16 00:00:00,,Paid Ads
13459346,2025-10-12 00:00:00,,Paid Ads
13672699,2025-12-31 00:00:00,,Organic
13136523,2025-06-07 00:00:00,,Organic
13117849,2025-06-02 00:00:00,,Others
13276780,2025-07-23 00:00:00,,Paid Ads
13138415,2025-06-07 00:00:00,,Paid Ads
13114366,2025-06-01 00:00:00,,Organic
13265959,2025-07-20 00:00:00,,Paid Ads
12772442,2025-02-23 00:00:00,,Organic
13228119,2025-07-09 00:00:00,,Organic
12835472,2025-03-22 00:00:00,crypto,Referral
12716453,2025-02-03 00:00:00,,Organic
13057364,2025-05-17 00:00:00,,Paid Ads
12722077,2025-02-05 00:00:00,,Organic
13555900,2025-11-10 00:00:00,,Organic
12945405,2025-04-20 00:00:00,,Organic
13501760,2025-10-22 00:00:00,,Paid Ads
12934883,2025-04-17 00:00:00,crypto,Paid Ads
13620343,2025-12-08 00:00:00,crypto,Paid Ads
12671496,2025-01-16 00:00:00,gss,Paid Ads
13522374,2025-10-29 00:00:00,crypto,Paid Ads
13639805,2025-12-18 00:00:00,,Paid Ads
12795275,2025-03-04 00:00:00,,Others
12898459,2025-04-09 00:00:00,,Organic
13281794,2025-07-24 00:00:00,,Paid Ads
12849774,2025-03-28 00:00:00,,Organic
13619827,2025-12-08 00:00:00,crypto,Organic
13338338,2025-08-20 00:00:00,,Paid Ads
13218653,2025-07-05 00:00:00,,Paid Ads
13380945,2025-09-14 00:00:00,,Organic
12804133,2025-03-08 00:00:00,,Paid Ads
13576596,2025-11-18 00:00:00,,Paid Ads
12849077,2025-03-28 00:00:00,crypto,Organic
12860397,2025-04-01 00:00:00,,Paid Ads
13622133,2025-12-09 00:00:00,,Paid Ads
13301125,2025-07-31 00:00:00,,Paid Ads
12898763,2025-04-09 00:00:00,,Paid Ads
13186349,2025-06-22 00:00:00,,Organic
13349685,2025-08-26 00:00:00,,Organic
12642172,2025-01-01 00:00:00,,Paid Ads
13429750,2025-10-05 00:00:00,,Paid Ads
13549241,2025-11-07 00:00:00,,Organic
13465319,2025-10-13 00:00:00,,Paid Ads
12997285,2025-05-01 00:00:00,,Paid Ads
13096086,2025-05-27 00:00:00,,Referral
12820511,2025-03-15 00:00:00,,Paid Ads
12657014,2025-01-08 00:00:00,,Organic
13383414,2025-09-15 00:00:00,,Organic
13370510,2025-09-08 00:00:00,,Referral
13638980,2025-12-18 00:00:00,crypto,Paid Ads
13232203,2025-07-11 00:00:00,crypto,Paid Ads
13398895,2025-09-23 00:00:00,,Paid Ads
13180888,2025-06-20 00:00:00,,Organic
13201814,2025-06-28 00:00:00,,Paid Ads
13294912,2025-07-29 00:00:00,,Organic
13090605,2025-05-26 00:00:00,crypto,Paid Ads
13438822,2025-10-07 00:00:00,,Paid Ads
13029188,2025-05-10 00:00:00,,Organic
12804233,2025-03-08 00:00:00,,Referral
13260665,2025-07-18 00:00:00,,Paid Ads
13441831,2025-10-08 00:00:00,,Organic
13095388,2025-05-27 00:00:00,,Organic
13092872,2025-05-26 00:00:00,gold,Referral
13571994,2025-11-16 00:00:00,,Organic
13087463,2025-05-25 00:00:00,,Paid Ads
13297246,2025-07-30 00:00:00,,Paid Ads
13050345,2025-05-15 00:00:00,,Organic
12875985,2025-04-05 00:00:00,,Organic
13308739,2025-08-04 00:00:00,,Investment Club
12642305,2025-01-01 00:00:00,,Paid Ads
13042448,2025-05-13 00:00:00,crypto,Paid Ads
12739889,2025-02-12 00:00:00,,Organic
13554839,2025-11-09 00:00:00,,Paid Ads
13337612,2025-08-19 00:00:00,,Organic
13296306,2025-07-29 00:00:00,gss,Paid Ads
13626718,2025-12-11 00:00:00,,Others
13488327,2025-10-19 00:00:00,,Paid Ads
12857533,2025-03-31 00:00:00,,Referral
13644231,2025-12-20 00:00:00,,Organic
13585007,2025-11-21 00:00:00,,Organic
12721986,2025-02-05 00:00:00,crypto,Organic
12863962,2025-04-02 00:00:00,,Paid Ads
13305936,2025-08-02 00:00:00,,Paid Ads
13357125,2025-08-30 00:00:00,,Organic
12742360,2025-02-13 00:00:00,crypto,Paid Ads
13669707,2025-12-30 00:00:00,gss,Paid Ads
12771730,2025-02-23 00:00:00,gold,Paid Ads
12731403,2025-02-09 00:00:00,,Organic
13505655,2025-10-24 00:00:00,,Paid Ads
13525635,2025-10-30 00:00:00,,Referral
13089450,2025-05-25 00:00:00,,Paid Ads
13388137,2025-09-18 00:00:00,,Organic
13475053,2025-10-16 00:00:00,gss,Organic
13433866,2025-10-06 00:00:00,crypto,Organic
13431146,2025-10-05 00:00:00,,Paid Ads
12923593,2025-04-15 00:00:00,,Paid Ads
12782935,2025-02-27 00:00:00,,Organic
13137361,2025-06-07 00:00:00,,Organic
13435163,2025-10-06 00:00:00,,Paid Ads
12659076,2025-01-09 00:00:00,,Organic
13067164,2025-05-20 00:00:00,,Organic
12723276,2025-02-06 00:00:00,gold,Organic
13313668,2025-08-06 00:00:00,,Organic
12882254,2025-04-06 00:00:00,gss,Paid Ads
13401750,2025-09-24 00:00:00,,Paid Ads
12932792,2025-04-17 00:00:00,,Organic
12945128,2025-04-19 00:00:00,,Referral
13267137,2025-07-20 00:00:00,crypto,Organic
13406043,2025-09-26 00:00:00,,Paid Ads
13253158,2025-07-16 00:00:00,,Paid Ads
13309030,2025-08-04 00:00:00,,Referral
12808552,2025-03-10 00:00:00,,Organic
13167490,2025-06-16 00:00:00,,Paid Ads
12856596,2025-03-31 00:00:00,,Organic
12957771,2025-04-22 00:00:00,,Paid Ads
13280948,2025-07-24 00:00:00,,Organic
12688934,2025-01-24 00:00:00,,Organic
13659367,2025-12-27 00:00:00,,Organic
13578694,2025-11-19 00:00:00,,Paid Ads
13191683,2025-06-25 00:00:00,,Organic
12696886,2025-01-28 00:00:00,,Organic
12857116,2025-03-31 00:00:00,,Paid Ads
13560262,2025-11-11 00:00:00,,Organic
13634607,2025-12-15 00:00:00,,Paid Ads
12823409,2025-03-17 00:00:00,crypto,Paid Ads
13036116,2025-05-12 00:00:00,,Paid Ads
12645595,2025-01-03 00:00:00,,Organic
13545763,2025-11-06 00:00:00,,Organic
13581719,2025-11-20 00:00:00,,Paid Ads
12956552,2025-04-22 00:00:00,,Paid Ads
12979403,2025-04-26 00:00:00,,Paid Ads
13285646,2025-07-26 00:00:00,,Organic
12763203,2025-02-21 00:00:00,crypto,Organic
13668847,2025-12-30 00:00:00,,Organic
12982441,2025-04-27 00:00:00,,Organic
12829507,2025-03-19 00:00:00,crypto,Organic
13643709,2025-12-20 00:00:00,,Organic
13056036,2025-05-16 00:00:00,,Organic
12646850,2025-01-03 00:00:00,,Organic
